;class;text;chars;word_count;hash_count;punctuation_count;punctuation;uppercase
57;2;will be back later ;45;5;0;1;['.'];0
58;1;aw torn ace of hearts ;34;6;1;1;['.'];2
59;2; what fun are you speaking of;30;6;0;1;['?'];0
60;1;i lost all my friends im alone and sleepyi wanna go home;60;12;0;4;[',', '`', '.', '.'];0
61;2; haha yes;9;2;0;0;[];0
62;1;i give in to easily;19;5;0;0;[];1
63;3;what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine was a red;135;30;0;1;['?'];2
64;1;mannnn got an iphone im jealous ;66;8;0;12;['.', '.', '.', '.', '.', '!', '!', '!', '.', '.', '.', '.'];0
65;2;is at a photoshoot;19;4;0;1;['.'];1
66;3; hes awesome have you worked with him before hes a good friend;70;12;0;7;['`', '.', '.', '.', '?', '`', '.'];3
67;2;yay playing a show tonight boo its gonna soggy and im at work right before playing;85;16;0;3;['!', '`', '`'];3
68;3;chilliin;8;1;0;0;[];1
69;2; if you know such agent do let me know;39;9;0;1;[','];1
70;2;i still smell of smoke ;36;6;1;0;[];1
71;3; a celticslakers rematch sounds better dont you think lol;60;9;0;3;['-', '`', '?'];0
72;2;anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb blog flickr etc;115;25;0;5;['?', '/', '/', '.', ','];7
73;2;you can ride one you can catch one but its not summer til you pop open one ;81;18;0;5;"[""'"", ',', ',', ""'"", '?']";0
74;2; she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no;120;27;0;2;['!', '-'];0
75;2;ok im out of here for now just popped in to say hi and check on things ill probably head to the guttah later on tonight;125;27;0;5;['-', '`', '.', '.', '`'];6
76;1;wow i am really missin the family today baddd;50;9;0;5;[',', '(', ')', '.', '.'];33
77;2; my sources say no;18;4;0;0;[];1
78;1;i am sooo tired;15;4;0;0;[];1
79;2; hey you change your twitter account and you didnt even tell me;69;12;0;6;[',', ',', '`', '.', '.', '.'];1
80;3; thank yyyyyyyyyoooooooooouuuuu;32;2;0;1;['!'];29
81;3; lucky kidi so wanna see loserville pity im in oz;57;10;0;7;['.', '.', '.', '.', '.', '.', '.'];0
82;2;fell asleep waiting for my ride;32;6;0;1;['!'];0
83;1;sick with a flu like thing;28;6;0;2;['.', '.'];2
84;1;still no reply from about my simfinger problem so no irape parody video until i get a response sorry guys;108;20;0;1;[','];6
85;3;happy star wars day everyone and enjoy the holiday uk;56;10;0;3;['!', '(', ')'];6
86;2; miles from you im in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers;124;27;0;2;['`', '.'];4
87;2;his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left i love him;131;28;0;4;['(', ',', ')', '.'];3
88;1;i miss you bby wish you were going tomorrow to make me do good;68;14;0;1;['.'];0
89;3; well what im working on isnt quite ready to post about publicly still beta testing but its a cool new script i coded;120;23;0;3;['`', '(', ')'];7
90;3; sweeeeet san fran is awesome love it there;50;9;0;5;['-', '!', '!', '!', '!'];11
91;2;mounce yes and it lasts way past my bedtime;45;9;0;1;['!'];1
92;2; hi how are you doing just joined twitter;52;9;0;6;['?', '?', '?', '.', '.', '.'];1
93;1;waiting for sleeping pills to kick in gonna be so tired at work tomorrow;75;14;0;3;['.', '.', '.'];0
94;2;eating ice cream and then getting ready for graduation;55;9;0;1;['.'];0
95;3;happy mothers day to all you mums out there;43;9;0;0;[];3
96;1; caseys gone but why so she piddled a little on the carpet shes prolly freaked cause its new can we get her back;125;23;0;13;['`', '?', '!', '?', '!', '?', '!', ',', '.', '`', '`', '.', '?'];19
97;1; hemp cloth is marvelous but unfortunately no;45;7;0;0;[];0
98;2;gonna read a story bout adam lambert online then bed nighty night;66;12;0;1;['.'];2
99;3; we saw that in none d the baddies the best;47;11;0;2;['-', '`'];2
100;3;am and im on the beach pretty;32;7;0;2;['.', '.'];3
101;2; certainly not cheers than huh;32;5;0;2;[',', '?'];2
102;1; week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces are starting to emerge from my hand ouch;136;19;0;9;"[""'"", ',', '.', ""'"", '-', '`', ':', '!', '!']";1
103;1;i realy wanted to go out cause its so nice but everybodys busy;62;13;0;0;[];0
104;3; awesome im down in ocean beach if you know where that is by the way yourbiggestfan im a real big fan of yours;123;23;0;12;"['.', '`', '(', '.', ')', '.', ""'"", ""'"", '`', '-', '-', '.']";9
105;2;at least i get to watch over time lets go pens;50;11;0;3;['`', '!', '!'];3
106;2; cool i wear black most of the time when i go out;49;12;0;0;[];0
107;3; haha i do not know how to work blip apart from the obvious thanks for reblipping my song have a nice day ;112;23;0;1;['!'];1
108;3; have a safe trip joshy pooyoull knock them dead at your speech;71;12;0;8;['.', '.', '.', '.', '.', '.', '.', '`'];0
109;3; woof i wish i was allowed to go;33;8;0;1;[','];2
110;2;if u have a friendster add me my email adress add me lococrimestcom add me leave some comment;126;18;0;10;['!', '!', '!', '!', '!', '!', '!', '!', '!', '.'];0
111;2; has tickets;21;2;0;8;['.', '.', '.', '.', '.', '.', '.', '?'];0
112;3;thank you afrin nasal spray also i got a giant teacup tonight;65;12;0;4;[',', '!', ',', '!'];6
113;2; acsm its unfathomable i think the other one and the is one that should be kept to the comfort of our bedrooms yes;126;25;0;9;['.', '`', '.', '.', '.', '.', '.', '.', '?'];4
114;3;aww i love my daddy he works days a week almost all day and still tries to go to sf with all of us;102;25;0;2;[',', '!'];5
115;1;so many tests todayyy i dont feel confident about anyy;57;10;0;2;['`', '.'];2
116;1;graduation is done im a little sad anyone want to hang out;64;12;0;5;['.', '.', '?', '?', '?'];0
117;3; hahaa your awesomee ;22;4;0;1;['!'];0
118;3;holy smokes star trek was freaking awesomeeeee;47;7;0;1;['!'];0
119;2;i hate fallout it keeps making me jump im also low on health money ammo and food dont worry ill get through it;120;24;0;7;[',', '`', ',', ',', '`', '`', '.'];4
120;2; i had it on my itunes but then i lost all my songs;54;13;0;3;['!', ',', '.'];3
121;2;whats with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha;134;25;0;2;['`', '?'];2
122;1;not looking forward to next week maths geography english and french exams totalling hours;95;15;0;4;[':', ',', ',', ','];5
123;1; poor you get outside and sleep in the garden the sun will do you good but dont forget suncream;102;19;0;6;[',', '.', '`', '!', '!', '!'];3
124;1;not well;8;2;0;0;[];0
125;3; not a prob hun;15;4;0;0;[];1
126;2;at dads watching some mtv and am going on sims in a minutee;61;13;0;1;[','];0
127;2; absolutely;11;1;0;0;[];1
128;2; whats the matter chickadee;29;4;0;2;['`', '?'];0
129;3; hey mia totally adore your music when will your cd be out;63;12;0;3;['!', '.', '?'];0
130;3;shopping cleaning bmfing webcam chatting with nephews nothing spesh but a good bank holiday monday nonetheless;115;16;0;5;['.', '.', '.', '.', ','];8
131;3; o you need to ask him something lmao i love him too;54;12;0;1;['?'];3
132;1; those splinters look very painfulbut you were being very heroic saving mr pickle;85;13;0;4;['.', '.', '.', '.'];1
133;1; why are you sad;17;4;0;1;['?'];0
134;3; nice to see you tweeting its sunday th may and were celebrating mothers day here today so be nice to yer mom;117;22;0;5;['!', '`', '`', '`', '.'];8
135;3;decided trans frm relaxed natural hair but i wish my whole head looked like my roots age of the instant gratification;127;23;0;5;['.', '.', '.', '.', '.'];1
136;2; namaskar namaste r both the same marathi people say namaskar its a marathi word should i naaaah ;111;20;0;11;['.', '!', '.', '.', '.', '.', '?', '.', '.', '.', '!'];4
137;2; congrats i cuss like that in a matter of minutes but didnt know until now there is a reward for it;104;21;0;4;['!', ',', '`', '.'];3
138;2;humous and doritos oh yes;30;5;0;5;['`', '.', '.', '.', '.'];3
139;1;missed all the awesome weather because she was in a movie;59;11;0;2;[',', '!'];0
140;2;today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink;135;31;0;1;['.'];3
141;1;these kids are terrible if i was in good evans id call childline;67;13;0;3;['!', ',', '`'];7
142;1;unfortunatley aerlingus no longer fly to copenhagen so were have to fly ryanair to billund and drive up to copenhagen one of the days;136;24;0;3;[',', '`', '!'];7
143;1; whats sad is that i actually had to google that term that sucks tho;72;14;0;4;['`', '.', ',', '.'];3
144;1;hate fighting;13;2;0;0;[];1
145;2; i watched that too i didnt want her to win but she put up a good fightlol;80;17;0;6;['!', '!', '!', ',', '.', '.'];2
146;1;carwarmed sprite tastes like sore throat;41;6;0;1;['-'];2
147;2;just came th in cross country and beat dumbo;46;9;0;0;[];1
148;3;candle wax is very enjoyable;29;5;0;1;['.'];1
149;3; shes unassuming and unpretentious shes just as i suppose thats why shes so endearingbecause we can relate to her;122;19;0;9;['`', '.', '`', ',', '.', '`', '`', '-', '-'];3
150;2;tomorrow valerias lunch going to get my hair done but im arraving late got my cousins babtizm or whatever you spell it;124;22;0;4;['`', '!', '!', '!'];0
151;3;goooooddd morning tweets week three of my workout did i mention i got my new glasses yesterday;101;17;0;6;['!', '!', '.', '?', '!', '?'];2
152;1; me too i hate my computer so much;37;8;0;3;['.', '.', '.'];1
153;3; fine going to do my big walk today or so miles;51;12;0;1;['!'];1
154;1;i want red cruisers i dont like the other ones lmfao;58;11;0;5;['!', '!', '`', '.', '!'];21
155;2;mmmmmmmm it in the morning;31;6;0;4;['.', '.', '.', '?'];1
156;2; me neither;11;2;0;0;[];0
157;2;has about hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah;104;22;0;4;[',', '.', '.', '.'];5
158;1;bugger forgot i still have washing in my machine;49;9;0;1;['.'];2
159;3;laurie sending love blessings healing thoughts to you family peace;73;12;0;1;[','];1
160;1;my back hurtsreally bad;26;4;0;3;['.', '.', '.'];1
161;2; ah yes i know that feeling;28;6;0;1;[','];1
162;2;night of the cookers with my dad;32;7;0;0;[];1
163;1;my modem has been offline for a week now god bless the g network tim just left again may schedule has been brutal;123;23;0;9;['.', '.', '.', '.', '.', '.', '.', '!', '!'];5
164;2; nope i am in coquitlam;23;5;0;0;[];3
165;1; had parent teacher thing yesterday so boring going to skl on saturday lol;79;13;0;4;['!', '!', '!', '!'];2
166;3; sounds like fun hope to see you and everyone else there;79;13;2;1;['!'];1
167;2;big booming thunder storm almost here maybe we can all go home early ah probably not;94;16;0;8;['.', '?', '?', '?', '.', '.', '.', '.'];3
168;3;few bevvies day in twngreat on a day off;45;9;0;4;['.', '.', '!', '!'];2
169;3;first night in myers just not the same wout lydia but im actually excited about this summer;97;17;0;5;['.', '/', '!', '`', '!'];0
170;3; good morning;13;2;0;0;[];0
171;3; its the best show ever;24;5;0;1;['!'];4
172;1;url in previous post to timer job should be id removed space which messed up url es;110;18;0;4;['(', ')', '`', '.'];9
173;2;i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l ;120;23;0;2;[':', '.'];1
174;2; i want to know when the auditions are mander text orreply please;70;12;0;5;['!', '.', '.', '.', '!'];3
175;1;or even nooooo not the secret namerebecca please;48;8;0;0;[];35
176;1; i miss my neice cant wait to see her bad n grown lol;61;14;0;2;['`', '!'];2
177;2;i need to get my computer fixed;31;7;0;0;[];0
178;1;really hopes her cars illness is not terminal;49;8;0;4;['`', '.', '.', '.'];0
179;2;all the cool people i want to find for following today are and i guess the english dont tweet;105;20;1;3;[',', '`', '.'];4
180;2; no siri woulda put honeybut i dont have any;51;9;0;7;['.', '.', '.', '.', '.', '.', '`'];0
181;3;who watched xmen origins wolverine i totally loved it haha;62;10;0;4;['-', ':', '?', '!'];1
182;3; i voted do u have a personal myspace i keep talking to fakes i you u helped me thru the hrdest time of my life x;127;28;0;8;['!', '!', '!', '?', '.', '!', '(', ':'];6
183;1; im sad that i missed you guys last night;43;9;0;2;['`', '!'];2
184;2;finally got a call for marriage counseling days late;58;10;0;4;['.', '.', '.', '.'];1
185;2; ok then;8;2;0;0;[];0
186;2; why baby;14;3;0;1;['?'];0
187;1;today was the last day of high school for me and i ended up going home sick stupid dead rats;97;21;0;4;['!', '.', '.', '.'];0
188;2;were having an impromptu pool party except i dont know how to swim so i cant get in;89;18;0;6;['`', '.', '.', '.', '`', '`'];4
189;1;lost my tooth day whilst i was eating gumoww;48;9;0;3;['.', '.', '.'];0
190;3;happy year ;16;4;0;1;['!'];0
191;3;oh i hella forgot to say my official good morning like to hear it here it go goooooooooooood morrrrrrrrning twitterville lol;129;21;0;4;[',', '?', '!', '!'];13
192;2; phew will make a note in case anyone else runs into the same issue;73;14;0;0;[];1
193;1; what about me i vote every day for you ;50;11;0;7;['?', '?', '!', '!', '!', '!', '!'];30
194;1;im starving this diet is killing me but i cant eat after pm;64;13;0;4;['`', '!', '!', '`'];3
195;2; i talk to you;14;4;0;0;[];0
196;1;im soo boredim deffo missing my music channels;49;8;0;3;['.', '.', '.'];0
197;3; nite nite bday girl have fun at concert;41;8;0;0;[];0
198;2;had nicotine replacement patch on for hours so far so good but i did sleep for most of those hours getting a bit twitchy now;132;27;0;4;['.', ',', ',', '.'];4
199;2;sanderson whats with twatter lately either i cant get on or the replies dont turn up;91;16;0;5;['`', '?', '`', '`', '!'];5
200;1;should be sleeping lost my voice a couple day ago;52;10;0;2;['.', '.'];0
201;1; hate when my parked car gets hit;60;9;0;1;['-'];6
202;2; ive heard this fall im waiting too;39;7;0;4;['`', '.', '`', '!'];2
203;2; more nightmares huggles;28;3;0;1;['?'];0
204;1;i am such a creeper i feel disappointed because of it my cyberstalking skills the internet no more privacy;118;21;0;2;['.', '.'];16
205;1;going to bed its late and i have headache;41;9;0;0;[];1
206;3;happy mothers day to all moms out there;43;8;0;4;['`', '.', '.', '.'];0
207;2;grabbing coffee from then making mom breakfast;47;7;0;0;[];1
208;3;im thinking that im going to have fun tonightand maybe some changes are coming;82;14;0;4;['.', '.', '.', '.'];0
209;2; thanks before the major chop;31;5;0;2;['.', '.'];0
210;3; haha i know i cant handle the fame and thank you;53;11;0;3;[',', '!', '!'];3
211;2;just got up and updated my ipod;31;7;0;0;[];0
212;3; yes sober hahaha tanghaling tapat dude haha wild i dont knowwww plan plan before you go to us;101;18;0;5;['!', '!', '.', '`', '!'];12
213;3; we never miss icarly my son has a huge crush on miranda;58;13;0;1;['-'];4
214;2;saw james carville in the store today his head is really that bald;67;13;0;1;['.'];3
215;2;yellow for zg;36;4;0;1;['?'];0
216;2; which means youre just going to have to come back to vancouver and have it our way hahah;91;18;0;2;['`', '!'];0
217;3;feeling smooth like chrome;26;4;0;0;[];1
218;1;ew traffic;10;2;0;0;[];1
219;2;downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol;109;20;0;1;[','];0
220;2;rara your not alonei need coffee too;44;7;0;4;['.', '.', '.', '.'];2
221;2; sounds like me;15;3;0;0;[];1
222;2;bad day the day you realize what mess youve put me through will be one of the happiest days of my life;107;22;0;4;['`', '.', '.', '.'];2
223;1;walking to class i hate not having a bikeespecially mine;62;10;0;6;['.', '.', '.', '.', '.', '.'];2
224;2;nesmith;8;1;0;0;[];0
225;1;failed inspection did you know you can pass wooven but not woantitip bracket which is only sold woven this is worse than taxes;135;23;0;9;['.', '/', ',', '/', '-', ',', '/', '?', '.'];2
226;3;jonas brothers live to party its rocking so hard i love the song;88;14;0;4;['-', '.', '`', ','];16
227;3;happy mothers day to all the mothers in the world;51;10;0;2;['`', '.'];0
228;3;mins through the hr mins google wave demo that looks a lot of fun would love to test it though ;123;21;0;3;[',', ',', '.'];2
229;3;sleepy tabz is heading to bed fun night listened through the next episode of jossd;87;15;0;4;['.', '!', '`', '!'];5
230;2;the exception for a short dude larenz fineass tate yum;55;10;0;1;[':'];3
231;3;screw the reviews i thought wolverine was awesome but not enough dominic monaghan for my liking;98;16;0;3;[',', '.', '.'];6
232;3;if you followed us recently please dont be offended that we havent followed back we hit our limit hopefully we will be free soon;135;24;0;5;[',', '`', '.', '.', '.'];9
233;2; yes i work to ;21;6;0;3;['.', '.', '.'];1
234;2; hmmm maybe thats what they meant they eluded to something brand new but you know how the media is;101;19;0;3;[',', '`', '.'];2
235;2;done at the spa now meeting vic for some late lunch;54;11;0;1;['!'];1
236;3;happy monday up and about going to tavares today hope everyone has a blessed day;83;15;0;2;['.', '!'];2
237;2; always have wanted to go to oz;31;7;0;0;[];2
238;2; thx;4;1;0;0;[];1
239;3; cool luv it;42;5;0;4;['-', '.', '.', '.'];1
240;3; thats why i need to be thereto represent the blackberries;63;10;0;4;['`', '.', '.', '.'];3
241;2;okay so im dedicating my th tweet to the fact that im going to the apple store because there is a huge crack on the glass screen;134;27;0;3;['`', '`', '!'];8
242;2; if only we could ever actually be allowed to stay here and do that;67;14;0;0;[];1
243;2; let me know how that turns out;33;7;0;2;['!', '!'];1
244;2; was that sass i detect as long as it isnt back sass haha;61;13;0;3;['?', '`', '!'];3
245;3; yeah i was thinking about that ahaha;38;7;0;1;[','];1
246;2; sports bar shatranjanpoli rest ph all sports bar andheri w dont know whether that helps google ki jai ho;124;21;0;1;['.'];12
247;1;im not sleeping at all until accepts my appology;50;9;0;1;['`'];1
248;1;wolverine was boss seriously and william was in it what the ;72;13;0;7;['!', ',', '.', '.', ',', '?', '?'];16
249;2; i live for pain bring it on;29;7;0;1;[','];1
250;2;okay im out for a while back later;38;8;0;3;[',', '`', '!'];0
251;2; what is this powerblog challenge you keep talking about im a newbie follower;92;14;1;2;['?', '`'];2
252;3;almost died laptop screen was set to brightness after i reinstalled windows vista got a headache now ;124;19;1;2;['.', '.'];5
253;2;waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time;105;23;0;2;['.', '.'];6
254;1;trying to decide on a movie with the friends not going to well lol p no bible study nite which means day cake buy my own;135;26;0;8;['.', '.', '!', ':', ',', '-', '?', '?'];2
255;2;going to shower because i dont want to smell at school tomorrow;64;12;0;1;['`'];0
256;2; sigh you know i am;25;5;0;6;['.', '.', '.', '.', '.', '.'];2
257;3;discovered cause of a bug in the new build publishing bug fix now hopefully new beta by tomorrow;111;20;1;2;['.', ','];1
258;2;here are free twitter tools will get you followers ;137;14;0;0;[];5
259;2;just got home from work and is chugging down a big bottle of apple juice;77;15;0;5;['.', '.', '.', '.', '.'];0
260;1; yes it does please dont go if you die i will cry which normally leads to small animals getting harmed;107;20;0;5;['.', '`', '.', '.', '.'];4
261;3;writing report cards soooo tired but what an amazing day check it out on fb soon;83;16;0;2;['.', '!'];0
262;2; it was only once for my big brotherand im done now;55;11;0;4;['.', '.', '.', '`'];1
263;2;good news finally finished my workout that has been paused for hours bad news my resistance band is torn;120;21;1;1;['.'];0
264;3;well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another this morning;132;23;0;1;[','];3
265;3;ftsk and mercy mercedes were amazing tonight as always;56;9;0;2;['.', '.'];6
266;3; hope he is ok;16;4;0;1;['!'];0
267;3;cant school just be done already it hurts too much seeing him every day;76;14;0;5;['`', '?', '.', '.', '.'];0
268;2;i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack;137;24;0;5;"[',', '?', ""'"", ""'"", '?']";3
269;2; hell yeah;11;2;0;1;['!'];2
270;2; him shirt at dinner do you need to ask does it actually have ville on it;78;16;0;4;['?', '?', '?', '?'];6
271;2; i know;9;2;0;2;['!', '!'];0
272;2; huh what the smelly noooo i love alex vixon;52;10;0;3;['?', '?', '.'];4
273;3;went to a party last night dindin and i showed up in matching outfits great minds think alike anyway happy birthday ate lara;131;25;0;5;['.', ')', ')', ',', ','];24
274;3; happy bday just woke up on this side of earth so wishes are bit late;72;15;0;3;['-', '!', ','];3
275;3;thank you for teaching me values and to be a better person each day i love so much youre the best mum in the world;117;25;0;2;[',', '`'];36
276;3;happy mothers day;19;3;0;2;['.', '!'];15
277;3; laughs im glad that you have self confidence its a wonderful trait to have ill applaud extra loud for it okay;120;22;0;6;['`', '-', '`', '`', ',', '?'];2
278;3; thanks;8;1;0;0;[];1
279;2;twittering after days;24;4;0;1;['!'];0
280;3;getting ready for week its too nice today to be stuck inside working;70;13;0;1;['!'];2
281;1;i am tres depressed;19;4;0;0;[];1
282;1;felt like behaved like my son ate to compensate pigged out on homeroasted sugar almonds painful tum threw up still feel sick;137;23;0;8;"[',', ';', '.', '-', '.', ',', ',', '.']";3
283;3;happy mothers day people i love my mom a lot still;51;11;0;1;['.'];3
284;1; im sorry to hear that;24;5;0;2;['`', '.'];1
285;3; thats awesome dude yay for surprise celebrities i got to meet him a few years ago he was soooo friendly;110;20;0;5;['`', ',', '!', ',', '.'];2
286;3; it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love;109;22;0;8;[',', ',', '.', '.', '.', '.', '?', '!'];0
287;2;is getting the hang of twitter;31;6;0;1;['.'];2
288;1;you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to parallel park in the free spaces;136;28;0;4;['`', '.', '.', '.'];1
289;2;i want it back now ;40;6;0;2;['!', ':'];8
290;1;going to miss my roomie we will no longer be roomies starting tomorrow;74;14;0;3;['.', '.', '.'];2
291;2;bathing with two little angels keyla and janice;49;8;0;2;[',', '.'];2
292;1; yep finished chocked full of spelling and grammatical errors but im cleaning it up tomorrow and popping it up hehe;120;20;0;4;[',', ',', ',', '`'];2
293;2; hahahha lol true that i always remember my bd but i can never remember what date or even day it is;100;21;0;1;['!'];9
294;2;family is herehanging with them;32;5;0;1;[','];1
295;3;watching ellen love her then doing the dishes and tanning its gorgeous out;82;13;0;7;['!', '!', '.', '.', '.', '`', '!'];3
296;1; whats goin on hun im worried about you;43;8;0;3;['`', '?', '`'];1
297;1; im not bannished but i am at work till ;44;10;0;3;['.', '.', '.'];2
298;2; morning if i get to see it ill let you know right now im going to go see wolverine;90;19;0;7;['!', ',', '`', '.', ',', '`', '.'];7
299;2; red top tabloids build em up knock em down;45;9;0;2;[',', ','];0
300;3;tonight in party w my girls minus vita;41;8;0;3;['/', '(', ')'];0
301;2; why not now you made me sad i thought youd be jumping for joy;64;14;0;1;['`'];1
302;2; simple my a;14;3;0;0;[];1
303;2;the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now;137;29;0;2;['.', ','];4
304;3; i saw the play of it here it was amazing;42;10;0;1;[','];1
305;3; i am glad to break my twitter virginity with you two;56;12;0;1;['.'];0
306;1;dinner with the fam i have missed them;41;8;0;3;['.', '.', '.'];2
307;2;live thats what i want more the better bound to be a few bad eggs though but they will soon learn;103;21;0;5;['`', '.', '.', ',', '.'];5
308;2;hell yeah kellynn got a twitter finally;41;7;0;2;['.', '.'];4
309;3; i know it was worth a shot though;38;8;0;2;[',', '!'];2
310;3;just opened a facebook account im a little confused i dont really get it twitter seems much better;102;18;0;4;[',', '`', '`', '.'];4
311;1;ship im stuck;16;3;0;3;['.', '`', '.'];2
312;3;dustbin baby on at cannot wait x;39;8;0;1;['.'];16
